2016_Suicide_Rate,2015_Disorder_Prevalence,2015_Unemployment,2015_Healthcare_Expenditure,2015_Gender_Ratio,Country,Code,Suicide_Classification
9.0520913084664,16.909515236500003,8.86400032043457,60.0,48.4545578446889,Afghanistan,AFG,Below
5.6,10.883378898299998,17.0799999237061,266.0,49.51459864251821,Albania,ALB,Below
3.3,14.5238817673,11.1999998092651,292.0,49.5041411878566,Algeria,DZA,Below
8.9,12.396675753,7.281000137329099,109.0,50.9910100765981,Angola,AGO,Below
0.5,13.221361178099999,10.450396517922854,657.0,52.02449812861521,Antigua and Barbuda,ATG,Below
9.1,15.7238087719,7.15100002288818,998.0,51.067922337041594,Argentina,ARG,Below
5.7,10.6803562445,18.2600002288818,366.0,53.0071598636249,Armenia,ARM,Below
11.7,18.4670826662,6.05999994277954,4934.0,50.16030978069921,Australia,AUS,Above
11.4,14.3576318739,5.71999979019165,4536.0,51.0448556419347,Austria,AUT,Above
2.6,10.427953318,4.96000003814697,368.0,50.2364649252706,Azerbaijan,AZE,Below
1.6,13.3436702844,12.0,1685.0,51.0521200088926,Bahamas,BHS,Below
5.7,14.137440953699999,1.20899999141693,1190.0,38.27648342612721,Bahrain,BHR,Below
9.48009447920933,12.546457914000001,4.42700004577637,32.0,49.539376606908,Bangladesh,BGD,Below
0.4,13.5652415499,11.3500003814697,1160.0,52.08685188312779,Barbados,BRB,Below
10.990616432902248,12.137750063199999,0.493000000715256,352.0,53.4759897796416,Belarus,BLR,Above
15.7,15.0055341155,8.47999954223633,4228.0,50.8445436103392,Belgium,BEL,Above
5.9,13.424818048299999,9.97000026702881,301.0,50.1496018503314,Belize,BLZ,Below
15.7,11.8078390606,2.62700009346008,31.0,50.1687695171371,Benin,BEN,Above
11.6,11.8817098368,2.4500000476837203,91.0,46.8567553185409,Bhutan,BTN,Above
12.9,12.7700152091,3.0699999332427996,197.0,49.922063109812896,Bolivia,BOL,Above
6.4,10.999289514,27.6940002441406,431.0,50.918577866517,Bosnia and Herzegovina,BIH,Below
11.5,12.5689739916,17.0149993896484,389.0,50.58652586123,Botswana,BWA,Above
6.1,14.6314178005,8.439999580383299,780.0,50.824106425943,Brazil,BRA,Below
4.5,11.430316378199999,6.83599996566772,812.0,48.4847178514463,Brunei,BRN,Below
7.9,11.261022600499999,9.14000034332275,572.0,51.373702314155295,Bulgaria,BGR,Below
14.8,11.842343303599998,6.49399995803833,33.0,50.20173803033529,Burkina Faso,BFA,Above
15.0,12.891930628599999,1.57099997997284,24.0,50.8271329694575,Burundi,BDI,Above
5.9,11.591853575999998,0.179000005125999,70.0,51.2259478350619,Cambodia,KHM,Below
19.5,11.820820259100001,4.2960000038147,64.0,49.97017455450911,Cameroon,CMR,Above
10.4,15.450023528900001,6.90999984741211,4508.0,50.396581824619105,Canada,CAN,Above
15.1,12.385325422100001,10.2749996185303,146.0,50.2047257688006,Cape Verde,CPV,Above
11.6,12.6957957915,6.39300012588501,17.0,50.6769864211172,Central African Republic,CAF,Above
15.5,12.082902848800002,5.65999984741211,36.0,49.9538381833815,Chad,TCD,Above
9.7,16.045631584200002,6.5100002288818395,1102.0,50.4775714344505,Chile,CHL,Above
8.0,11.4623998891,4.605000019073491,426.0,48.479223381252794,China,CHN,Below
7.0,10.018338436,8.23999977111816,374.0,50.7688719978874,Colombia,COL,Below
11.1,12.263771916300001,4.3449997901916495,59.0,49.566330304141204,Comoros,COM,Above
9.3,12.3045168247,10.0249996185303,59.0,49.9775204157862,Congo,COG,Below
7.5,11.042830185,9.26000022888184,929.0,49.966273857112206,Costa Rica,CRI,Below
9.526831607519476,11.4536633874,2.6649999618530296,519.921738185255,49.245815723814296,Cote d'Ivoire,CIV,Above
11.5,11.4686885899,16.1800003051758,852.0,51.8171564116644,Croatia,HRV,Above
10.1,14.104307184200001,2.4000000953674303,1877.2449847618236,49.961069443841,Cuba,CUB,Above
4.5,14.2233841581,14.9200000762939,1563.0,49.9221780163878,Cyprus,CYP,Below
9.84275664058781,11.3594584261,5.050000190734861,407.8517132608167,50.86271252359071,Czechia,CZE,Above
9.853730069294008,12.533246535199998,3.70700001716614,1037.1238579398523,50.134170658368504,Democratic Republic of Congo,COD,Above
9.2,14.2710913148,6.17000007629395,5497.0,50.2731645834414,Denmark,DNK,Below
8.5,12.562199227999999,5.8639998435974094,82.0,49.8000892805155,Djibouti,DJI,Below
10.5,13.5609251816,5.92000007629395,384.0,50.1718922316679,Dominican Republic,DOM,Above
10.5,13.5609251816,5.92000007629395,397.0,50.1718922316679,Dominican Republic,DOM,Above
7.2,12.7848811347,3.6199998855590803,530.0,50.006928117360104,Ecuador,ECU,Below
4.4,14.570879290699999,13.0500001907349,157.0,49.4456556715285,Egypt,EGY,Below
13.5,11.025486024300001,4.0,283.0,52.9507979353278,El Salvador,SLV,Above
22.0,12.4761420326,5.45900011062622,280.0,44.8345216015246,Equatorial Guinea,GNQ,Above
13.8,12.857784264600001,6.5560002326965305,31.0,50.46011880382257,Eritrea,,Above
14.4,12.070548343499999,6.19000005722046,1112.0,53.2293036728426,Estonia,EST,Above
16.7,12.516171367699997,26.3320007324219,138.41954289169644,51.5448660893667,Eswatini,SWZ,Above
11.4,12.875781791600001,4.97200012207031,24.0,50.07572765367371,Ethiopia,ETH,Above
5.5,11.1347710319,6.09899997711182,175.0,49.15305152531429,Fiji,FJI,Below
11.7,14.9434476224,9.38000011444092,4005.0,50.787016633442605,Finland,FIN,Above
12.1,16.408130651799993,10.3599996566772,4026.0,50.8623451043847,France,FRA,Above
